index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
2425,Fiji,Papua New Guinea,0.85,0.85,0.85,50,50,3,1,2.5,Win
2426,Japan,Turkey,0.85,0.99,0.92,182,158,1,0,1,Win
2427,Mozambique,Tanzania,0.85,0.85,0.85,112,102,3,0,1,Win
2428,Solomon Islands,Tahiti,0.85,0.85,0.85,61,50,4,1,2.5,Win
2429,Uruguay,Venezuela,1,1,1,146,87,2,0,3,Win
2430,Brazil,Mexico,1,0.85,0.925,200,188,3,2,3,Win
2431,Colombia,Costa Rica,1,0.85,0.925,189,147,4,1,3,Win
2432,Egypt,Ghana,0.85,0.85,0.85,167,165,2,0,1,Win
2433,Argentina,Paraguay,1,1,1,179,178,1,1,3,Draw
2434,Australia,Solomon Islands,0.85,0.85,0.85,166,61,6,2,2.5,Win
2435,Chile,Ecuador,1,1,1,173,160,1,2,3,Lose
2436,USA,Israel,0.85,0.99,0.92,174,157,2,1,1,Win
2437,Bolivia,Uruguay,1,1,1,166,149,1,0,3,Win
2438,New Zealand,Fiji,0.85,0.85,0.85,82,50,5,0,2.5,Win
2439,Peru,Venezuela,1,1,1,161,89,2,0,3,Win
2440,Australia,Tahiti,0.85,0.85,0.85,167,50,2,0,2.5,Win
2441,Brazil,Colombia,1,1,1,200,187,2,0,3,Win
2442,Mexico,Costa Rica,0.85,0.85,0.85,188,147,1,1,3,Draw
2443,Iraq,Pakistan,0.85,0.85,0.85,125,50,6,1,2.5,Win
2444,Uzbekistan,Indonesia,0.85,0.85,0.85,109,92,3,0,2.5,Win
2445,Antigua and Barbuda,St. Lucia,0.85,0.85,0.85,50,61,1,1,1,Draw
2446,Bolivia,Colombia,1,1,1,166,187,2,1,3,Win
2447,Morocco,Egypt,0.85,0.85,0.85,186,158,1,0,2.5,Win
2448,Papua New Guinea,Fiji,0.85,0.85,0.85,50,50,0,1,2.5,Lose
2449,Peru,Argentina,1,1,1,161,184,2,1,3,Win
2450,Tahiti,Solomon Islands,0.85,0.85,0.85,50,60,1,1,2.5,Draw
2451,Angola,Ghana,0.85,0.85,0.85,137,164,1,0,2.5,Win
2452,Antigua and Barbuda,St. Lucia,0.85,0.85,0.85,50,61,1,0,1,Win
2453,Brazil,Paraguay,1,1,1,200,176,2,0,3,Win
2454,Cameroon,Gabon,0.85,0.85,0.85,155,136,2,2,2.5,Draw
2455,China PR,Vietnam,0.85,0.85,0.85,142,91,4,0,2.5,Win
2456,Ecuador,Mexico,1,0.85,0.925,162,188,1,1,3,Lose
2457,Estonia,Andorra,0.99,0.99,0.99,101,50,4,1,1,Win
2458,Côte d'Ivoire,Algeria,0.85,0.85,0.85,148,140,2,1,2.5,Win
2459,Japan,Macau,0.85,0.85,0.85,183,50,10,0,2.5,Win
2460,Lebanon,Kuwait,0.85,0.85,0.85,113,145,1,3,2.5,Lose
2461,Mali,Benin,0.85,0.85,0.85,128,70,3,1,2.5,Win
2462,Mozambique,Zambia,0.85,0.85,0.85,118,182,2,2,2.5,Draw
2463,Nepal,Oman,0.85,0.85,0.85,50,102,0,6,2.5,Lose
2464,Senegal,Ethiopia,0.85,0.85,0.85,130,83,3,0,2.5,Win
2465,Tajikistan,Turkmenistan,0.85,0.85,0.85,75,71,5,0,2.5,Win
2466,Tanzania,Togo,0.85,0.85,0.85,100,123,1,0,2.5,Win
2467,Bolivia,Mexico,1,0.85,0.925,166,188,3,1,3,Win
2468,Japan,Nepal,0.85,0.85,0.85,183,50,3,0,2.5,Win
2469,Latvia,Andorra,0.99,0.99,0.99,126,50,4,1,1,Win
2470,Macau,Oman,0.85,0.85,0.85,50,102,0,2,2.5,Lose
2471,Brazil,Peru,1,1,1,200,161,7,0,3,Win
2472,Japan,Oman,0.85,0.85,0.85,183,102,1,1,2.5,Draw
2473,Macau,Nepal,0.85,0.85,0.85,50,50,2,1,2.5,Win
2474,Mexico,Peru,0.85,1,0.925,188,161,1,0,3,Win
2475,Namibia,Malawi,0.85,0.85,0.85,106,116,4,1,1,Win
2476,New Zealand,Australia,0.85,0.85,0.85,82,167,0,3,2.5,Lose
